iter	Passed	Remaining
1407	113574	402673
1408	113656	402597
1409	113739	402525
1410	113820	402445
1411	113902	402368
1412	113977	402269
1413	114054	402174
1414	114134	402092
1415	114209	401992
1416	114294	401925
1417	114377	401854
1418	114495	401904
1419	114577	401826
1420	114663	401765
1421	114748	401699
1422	114830	401622
1423	114906	401528
1424	114987	401447
1425	115068	401368
1426	115151	401296
1427	115230	401209
1428	115306	401111
1429	115388	401037
1430	115469	400956
1431	115547	400865
1432	115620	400758
1433	115696	400661
1434	115776	400578
1435	115853	400486
1436	115925	400375
1437	116003	400286
1438	116078	400185
1439	116155	400089
1440	116233	400000
1441	116315	399924
1442	116391	399829
1443	116472	399747
1444	116544	399640
1445	116624	399556
1446	116697	399448
1447	116773	399353
1448	116846	399244
1449	116925	399159
1450	116996	399045
1451	117066	398927
1452	117143	398837
1453	117220	398741
1454	117291	398628
1455	117371	398548
1456	117447	398450
1457	117517	398333
1458	117588	398219
1459	117657	398102
1460	117735	398013
1461	117805	397894
1462	117873	397772
1463	117941	397651
1464	118021	397565
1465	118100	397480
1466	118177	397388
1467	118245	397266
1468	118321	397171
1469	118399	397082
1470	118472	396976
1471	118542	396860
1472	118611	396741
1473	118686	396641
1474	118757	396530
1475	118835	396441
1476	118913	396351
1477	118988	396253
1478	119062	396150
1479	119139	396059
1480	119216	395965
1481	119295	395881
1482	119375	395797
1483	119454	395712
1484	119529	395613
1485	119597	395493
1486	119670	395387
1487	119747	395294
1488	119819	395187
1489	119898	395101
1490	119975	395009
1491	120051	394914
1492	120127	394820
1493	120207	394736
1494	120277	394623
1495	120353	394526
1496	120426	394422
1497	120502	394329
1498	120577	394228
1499	120656	394143
1500	120733	394053
1501	120806	393948
1502	120882	393853
1503	120952	393738
1504	121023	393626
1505	121098	393529
1506	121178	393448
1507	121250	393340
1508	121327	393248
1509	121397	393134
1510	121470	393030
1511	121541	392919
1512	121622	392839
1513	121699	392751
1514	121774	392652
1515	121848	392551
1516	121923	392453
1517	122002	392368
1518	122077	392272
1519	122150	392166
1520	122224	392065
1521	122301	391976
1522	122379	391886
1523	122466	391827
1524	122541	391729
1525	122624	391658
